ID,Zip_Code,Population,Population_Density,Housing_Units,Median_Home_Value,Occupied_Housing_Units,Median_Household_Income,Gender_Male,Gender_Female,Race_White,Race_Black,Race_Indian,Race_Asian,Race_Hawaiian,Race_Other,Race_Mixed,Whole_Family,Single_Guardian,Singles,Single_With_Roomate,Owned_With_Mortgage,Owned_No_Mortgage,Renter,Vacant,Full_Time,Part_Time,Unemployed
118,77562,10459,705,4095,95900,3765,57394,5205,5254,8429,681,79,38,1,959,272,1984,782,806,193,1596,1266,903,330,3570,1923,2784
119,77583,28531,171,7366,137800,6654,68939,17417,11114,14533,6869,149,1402,13,4818,747,4286,1158,983,227,3917,1789,948,712,7908,3235,11922
120,77417,2457,41,984,72400,858,35833,1194,1263,1240,586,4,6,2,583,36,444,178,205,31,286,366,206,126,710,412,690
121,77459,56274,1717,19287,205500,18482,104547,27170,29104,26939,14311,188,11602,19,1524,1691,13033,2432,2504,513,13906,2883,1693,805,22610,8597,11881
122,77095,66502,4322,23943,167000,22922,89393,32492,34010,43680,9091,303,7119,29,4306,1974,14146,3655,4117,1004,14561,2456,5905,1021,28186,11285,11555
123,77086,28009,4129,8375,93500,7758,42030,13864,14145,11718,7282,249,2014,9,5658,1079,4035,2289,1123,311,3570,926,3262,617,8244,4741,6473
124,77494,61600,1511,20283,262100,19282,126425,30150,31450,45685,3800,215,8334,47,1824,1695,14806,1924,2140,412,14697,1939,2646,1001,26290,8801,14032
125,77380,23136,1861,11248,176700,10186,67616,11388,11748,19267,1139,92,955,34,1051,598,4439,1567,3415,765,3483,1357,5346,1062,9757,5031,4790
126,77461,10679,72,4017,114900,3675,59220,5371,5308,8230,570,54,66,2,1508,249,2260,586,721,108,1746,1281,648,342,3836,1275,2398
127,77545,19431,1595,6125,135700,5749,67970,9325,10106,3722,11945,129,235,4,2822,574,3173,1571,804,201,4056,787,906,376,7334,2806,3720
128,77520,36489,1524,14316,76100,12255,43409,18064,18425,23140,4640,256,354,18,7046,1035,5880,2983,2792,600,3907,3527,4821,2061,10819,6266,10817
129,77346,53578,3086,18490,156600,17768,86523,26403,27175,38778,8311,206,1644,154,2949,1536,11848,2692,2605,623,13040,1961,2767,722,20829,9115,10000
130,77502,37995,6767,12079,93000,11291,43014,18884,19111,28748,687,287,157,9,6817,1290,6133,2692,1977,489,4369,2793,4129,788,9972,6070,9877
131,77433,50539,866,16596,173100,15497,89258,24939,25600,33474,7658,220,3443,26,4120,1598,10674,2316,1943,564,11725,1233,2539,1099,19042,9001,9815
132,77373,54609,2302,19307,110900,18160,67742,26539,28070,34864,10625,320,1745,203,5066,1786,10159,3988,3100,913,11341,2276,4543,1147,21700,8414,10831
133,77449,94382,3158,29238,118500,27742,65420,45980,48402,52621,17581,679,4720,74,14609,4098,16805,6164,3737,1036,19498,2052,6192,1496,35006,15580,17298
134,77479,74514,2254,24980,275400,24076,123935,36489,38025,38546,5187,147,27192,26,1195,2221,18367,2371,2913,425,16009,4358,3709,904,28810,11929,17959
135,77469,35321,270,11767,152700,11020,67088,17795,17526,19841,7794,166,2472,10,4020,1018,6315,2313,1911,481,6245,1971,2804,747,13727,5688,8387
136,77357,19987,318,7318,101000,6647,48979,9942,10045,16951,433,174,97,12,1855,465,3881,1313,1152,301,2839,2256,1552,671,5709,3877,5535
137,77379,70544,2807,25531,190200,24124,97692,34910,35634,53242,5268,260,6463,64,3129,2118,16397,3160,3738,829,16041,3842,4241,1407,28205,10620,15700
138,77493,23104,400,7643,148900,7296,78452,11549,11555,17588,1482,143,549,9,2673,660,4817,1279,931,269,4728,1288,1280,347,8988,4092,4484
139,77536,30690,2452,11157,133500,10676,77824,15084,15606,26693,351,207,453,26,2327,633,6594,1810,1890,382,6121,2525,2030,481,11369,5043,7263
140,77530,31086,2363,9822,86900,9015,44786,15710,15376,18081,3799,265,366,23,7358,1194,5068,2235,1371,341,3989,2102,2924,807,9152,5037,7176
141,77377,28708,738,10136,193000,9709,87474,14236,14472,23182,1271,115,1796,6,1673,665,6651,1173,1517,368,6572,1730,1407,427,10504,5020,6186
142,77547,9735,3652,2945,70100,2709,38692,4906,4829,6208,744,73,11,1,2393,305,1547,670,405,87,935,856,918,236,2586,1430,3032
143,77388,40384,2903,14196,147500,13693,82936,19800,20584,29855,3400,192,2922,47,2797,1171,8997,2075,2087,534,9509,2268,1916,503,16146,5960,8146
144,77535,31295,100,10512,92700,9394,54553,15015,16280,24311,3216,211,139,17,2846,555,5592,1639,1770,393,4311,3233,1850,1118,8410,4578,11836
145,77590,30374,1722,12489,91600,11124,45343,14790,15584,19377,5987,208,275,19,3553,955,4897,2885,2786,556,3837,2854,4433,1365,9129,5672,8511
146,77068,10064,2646,4180,165200,3642,67945,4979,5085,5367,2353,40,806,10,1191,297,2130,630,685,197,1800,760,1082,538,4489,1330,2412
147,77551,17753,4655,10330,125900,7007,42575,9052,8701,11659,2569,128,539,6,2302,550,2720,1422,2343,522,1837,1714,3456,3323,5905,4504,4825
148,77554,8863,250,9546,247800,3935,64583,4620,4243,7938,244,42,222,3,215,199,1922,307,1303,403,1620,1005,1310,5611,2942,2436,2459
149,77539,38806,770,15386,134100,13912,66129,19309,19497,27415,4596,243,1198,20,4171,1163,7274,2725,3041,872,6664,3340,3908,1474,13847,7426,9293
150,77385,19534,896,6887,155800,6550,82175,9719,9815,16092,1085,143,586,12,1083,533,4241,945,1083,281,4373,1120,1057,337,8334,2687,3884
151,77578,12672,340,4613,189700,4313,92826,6281,6391,8245,1970,49,1163,8,918,319,2831,617,699,166,2891,972,450,300,5897,2117,2912
152,77429,72264,1883,25165,187000,24208,96695,35600,36664,56644,5350,371,4239,54,3779,1827,16459,3313,3485,951,16877,3386,3945,957,28141,11998,13279
153,77389,21255,1019,7569,190700,7039,99702,10474,10781,17562,933,97,566,2,1613,482,4957,927,914,241,5005,1276,758,530,8612,3978,5055
154,77503,24251,2833,8883,88600,8018,44939,11946,12305,18641,601,233,134,16,3951,675,3843,1907,1893,375,2856,1632,3530,865,7247,4497,6523
155,77386,36407,904,12870,164900,12149,82747,17951,18456,28840,2689,221,1130,57,2357,1113,7794,1862,1824,669,8792,1114,2243,721,17076,6094,6917
156,77505,23223,2537,8881,160700,8183,72695,11429,11794,18459,536,165,1186,20,2309,548,4750,1497,1579,357,4307,1495,2381,698,9041,4274,4985
157,77407,28595,1518,9478,165800,9074,85219,13791,14804,11465,8192,114,5733,2,2082,1007,5786,1615,1299,374,7382,391,1301,404,12594,4871,6182
158,77362,4600,565,1703,133100,1582,59576,2285,2315,3829,82,27,29,1,544,88,988,256,277,61,873,432,277,121,1562,864,1104
159,77586,20970,1615,9487,190100,8304,86786,10628,10342,18079,745,88,901,24,621,512,4509,1160,2153,482,4364,1491,2449,1183,8373,3828,4815
160,77518,8673,3158,3427,78800,3022,40612,4439,4234,6444,300,65,244,6,1377,237,1447,648,727,200,1172,814,1036,405,2715,1365,1805
161,77381,34961,2667,13948,277800,13456,101383,16713,18248,31499,782,122,1279,14,570,695,8891,1360,2882,323,8064,2414,2978,492,12450,6832,9733
162,77406,33682,519,11373,215700,10923,110294,17791,15891,26389,3903,154,1301,4,1208,723,7846,1317,1425,335,7939,1749,1235,450,13166,5019,9214
163,77328,13993,86,5321,85700,4704,48250,7028,6965,12120,300,117,50,4,1153,249,2725,878,895,206,2032,1902,770,617,4949,2347,4537
164,77371,7665,60,3159,67800,2684,38595,3806,3859,6213,678,49,58,5,496,166,1385,552,621,126,833,1263,588,475,2156,1542,2558
165,77498,49906,3223,15554,159100,14948,72232,25002,24904,20937,7956,218,14950,28,3996,1821,9840,2693,1951,464,9533,2435,2980,606,19768,7726,12406
166,77327,20160,63,8267,79200,7016,46936,10159,10001,15681,2033,110,120,3,1810,403,3652,1393,1653,318,2369,2684,1963,1251,5682,3260,6742
167,77355,24010,421,8449,167400,7988,71326,12002,12008,21475,341,162,119,6,1490,417,5489,1130,1097,272,4917,1799,1272,461,8497,4525,5903
168,77474,12782,61,5233,141500,4605,56905,6371,6411,9761,1169,37,73,0,1388,354,2659,788,976,182,2000,1414,1191,628,4762,1835,3262
169,77384,11857,678,5593,225100,5260,80032,5739,6118,10404,366,75,481,8,310,213,2806,507,1689,258,2238,1108,1914,333,5051,1980,3232
170,77318,14281,372,6780,166100,5640,78194,7017,7264,12686,549,88,98,13,545,302,3390,819,1160,271,3009,1561,1070,1140,4888,2505,3594
171,77550,23043,3069,14615,117200,9972,32447,11696,11347,12056,6355,243,780,16,2724,869,2789,2244,3938,1001,2141,2063,5768,4643,6617,5634,6421
172,77372,12164,234,4544,75800,4094,44896,6015,6149,10766,115,73,49,2,930,229,2368,806,720,200,1701,1616,777,450,3616,2116,3622
173,77485,4054,49,1769,135800,1535,60900,2029,2025,3063,430,20,22,0,429,90,902,221,341,71,637,572,326,234,1507,367,1201
174,77010,366,2965,471,526300,249,250001,206,160,305,26,5,21,0,2,7,71,4,149,25,12,9,228,222,372,50,114
